date,ok,n_checks,failed
2026-08-07,1,15,
2026-08-07,0,15,資料新鮮度 · shiller
2026-08-07,0,15,資料新鮮度 · shiller
2026-08-07,1,15,
2026-08-07,1,15,
2026-08-07,1,15,
2026-08-08,1,15,
2026-08-08,1,15,
2026-08-08,1,15,
2026-08-08,1,15,
2026-08-09,1,15,
2026-08-10,1,15,
2026-08-11,1,15,
2026-08-11,1,15,
2026-08-12,1,15,
2026-08-13,1,15,
2026-08-14,1,15,
2026-08-15,1,15,
2026-08-16,1,15,
2026-08-17,1,15,
2026-08-18,1,15,
2026-08-19,1,15,
2026-08-20,1,15,
2026-08-21,0,15,資料新鮮度 · shiller
2026-08-22,0,15,資料新鮮度 · shiller
